fish_names,fish_prices in EUR,pictures,special
"Copadichromis chrysonotus F2, DNZ",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84874/middle/Copadichromis-chrysonotus.jpg,
"Corica Schmerle, Schistura corica",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/102951/middle/Corica-Schmerle--Schistura-corica.jpg,Neuheit
"Corydoras aff. bifasciatus CW 127 ""Super Parallelus""",69.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101431/middle/Corydorus-aff--bifasciatus-CW-127-Super-Parallelus.jpg,Neuheit
"Dacrya-Sattelfleckenbuntbarsch, Guianacara dacrya / Geophagus dacrya",24.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100085/middle/Guianacara-dacrya-1.jpg,Neuheit
"Dadybujors Kielbauchbärbling, Chela dadyburjori",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80128/middle/80128-Dadybujors-Kielbauchbaerbling--Chela-dadyburjori.jpg,
"Deltaflügelzwergwels, Hara jerdoni (Minifisch)",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/16413/middle/16413-Deltafluegelzwergwels--Hara-jerdoni--Minifisch-.jpg,
"Deutschland-Platy, Xiphophorus maculatus",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85093/middle/Xiphophorus-maculatus-Deutschlandplaty-7.jpg,
"Diamant-Neonsalmler, Paracheirodon innesi",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/81059/middle/81059-Diamant-Neonsalmle-Paracheirodon-innesi.jpg,
"Dickfelds Schlankcichlide, Julidochromis dickfeldi",14.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100245/middle/Dickfelds-schlankcichlide-Julidochromis-dickfeldi.jpg,Neuheit
"Dicklippiger Fadenfisch, Trichogaster labiosa",7.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80058/middle/80058-Dicklippiger-Fadenfisch--Trichogaster-labiosa.jpg,
"Diskusfisch ASIA-NZ, Symphysodon discus Marlboro Red",19.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100948/middle/Diskusfisch-Symphysodon-aequifasciatus-07-Marlboro-red-7.jpg,
"Diskusfisch ASIA-NZ, Symphysodon discus Pigeon Blood",19.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101064/middle/Symphysodon-aequifasciatus-Pigeon-Blood-3.jpg,
"Dreistreifen-Zwergbuntbarsch, Apistogramma trifasciata",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84605/middle/Apistogramma-trifasciata-Dreistreifen-Zwergbuntbars-neu1-jpg.jpg,
"Echter Altum-Skalar, Pterophyllum altum",79.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80117/middle/80117-Echter-Altum-Skalar-Pterophyllum-altum.jpg,
"Echter Palembang-Kugelfisch, Tetraodon palembangensis",34.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/81062/middle/81062-Echter-Palembang-Kugelfisch-Tetraodon-palembangens.jpg,
"Eilandbarbe, Puntius oligolepis DNZ",2.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/9494/middle/9494-Eilandbarbe-Puntius-oligolepis.jpg,
"Einfarbiger Panzerwels, Corydoras concolor",16.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/81946/middle/Einfarbiger-Panzerwels-Corydoras-concolor-1.jpg,
"Eisblauer Maulbrüter, Pseudotropheus socolofi, DNZ",12.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/10815/middle/10815-Eisblauer-Maulbrueter-Pseudotropheus-socolofi.jpg,
"Elliots Buntbarsch, Thorichthys ellioti, DNZ",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80159/middle/80159-Elliots-Buntbarsch--Thorichthys-ellioti.jpg,
"Endler Guppy ""Santa Maria Bleeding Heart""",6.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100164/middle/Santa-Maria-Bleeding-Heart-Endler-Guppy-Santa-Maria-Bleeding-Heart-1.jpg,
"Endler Guppy black green snake, Poecilia wingei, 1 Paar",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101436/middle/Poecilia-wingei-Black-Green-Snake.jpg,Neuheit
"Endler Guppy blau, Poecilia wingei",6.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100625/middle/Endler-Guppy-blau-Poecilia-wingei-1.jpg,
"Endler Guppy Blue Snake, Poecilia wingei (Minifisch)",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/87450/middle/Poecilia-wingei-Blue-Snake.jpg,
"Endler Guppy El Tigre, Poecilia wingei (Minifisch)",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86781/middle/Endler-Guppy-El-Tigre-Poecilia-wingei-1.jpg,
"Endler Guppy Emerald Green, Poecilia wingei, 1 Paar",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/102923/middle/Poecilia-wingei-Emerald-Green-11.jpg,Neuheit
"Endler Guppy Japan Blue, Poecilia wingei (Minifisch)",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84247/middle/Poecilia-wingei-JAPAN-BLUE-LYRETAIL.jpg,
"Endler Guppy lime green, Poecilia wingei, 1 Paar",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101292/middle/Endler-Guppy-lime-green-Poecilia-wingei-Maennchen.jpg,
"Endler Guppy Red Scarlet, Poecilia wingei (Minifisch)",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84104/middle/Poecilia-wingei-Red-Scarlet-Endler-Guppy.jpg,
"Endler Guppy Tuxedo, Poecilia wingei, 1 Paar",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101162/middle/Endler-Guppy-Tuxedo-Poecilia-wingei-1.jpg,
"Endler Guppy, Poecilia wingei (Minifisch)",4.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8609/middle/Endler-Guppy-Poecilia-reticulata-Minifisch.jpg,
"Engel-Antennenwels, Pimelodus pictus, 6-8 cm",26.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80153/middle/80153-Engel-Antennenwels--Pimelodus-pictus.jpg,
"Erbsenkugelfisch, Carinotetraodon travancoricus (Minifisch)",6.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8743/middle/8743-Erbsenkugelfisch--Carinotetraodon-travancoricus--Mi.jpg,
"Erdbeer-Aulonocara, Aulonocara spec. Strawberry, DNZ",27.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86299/middle/Aulonocara-spec--STRAWBERRY.jpg,Neuheit
"Espes Bärbling, Rasbora espei (Minifisch)",3.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8712/middle/8712-Espes-Baerbling-Rasbora-espei-Minifisch.jpg,
"Feenbarsch, Neolamprologus brichardi, DNZ",11.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80040/middle/80040-Feenbarsch--Neolamprologus-brichardi.jpg,
"Feenbuntbarsch, Aulonocara jacobfreibergi",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/frontend/static/Platzhalter.jpg,
"Feuerkardinal, Tanichthys albonubes Fire Red",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85649/middle/Feuerkardinal--Tanichthys-albonubes-Fire-Red.jpg,
"Feuermaulbuntbarsch, Thorichthys meeki",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8849/middle/8849-Feuermaulbuntbarsch--Thorichthys-meeki.jpg,
"Feuerschwanz, Epalzeorhynchos bicolor (Labeo)",4.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8927/middle/8927-Feuerschwanz-Epalzeorhynchos-bicolor.jpg,
"Firelinebärbling, Danio sondhii (Devario sondhii)",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101676/middle/Fireline-Danio-Devario-sondhii-3.jpg,Neuheit
"Flächigroter Blaubarsch, Dario hysginon ""Black Tiger""",8.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/87550/middle/Flaechigroter-Blaubarsch-Dario-hysginon-Black-Tiger.jpg,
